"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.216639958E0,9.722855437E-1,1.604716880E0,2.090276392E0,2.808862909E0
1.226646958E0,8.813747889E-1,1.555305277E0,1.696057990E0,2.464225787E0
1.236653958E0,3.996688843E-1,1.912001804E0,1.364198389E0,2.382545563E0
1.246659958E0,7.089421535E-1,2.165284182E0,9.771127126E-1,2.479073178E0
1.256666958E0,1.374550007E0,2.463694202E0,3.944120912E-1,2.848637875E0
1.266673958E0,1.686444583E0,2.773607157E0,-2.111021729E-1,3.252930389E0
1.276680958E0,1.772902683E0,2.462198192E0,-8.418366475E-1,3.148697000E0
1.286686958E0,1.767134990E0,1.793989204E0,-1.466941423E0,2.914289017E0
1.296693958E0,1.195800040E0,1.475223127E0,-1.914964880E0,2.696907767E0
1.306700958E0,1.017142459E0,1.388910038E0,-2.164066207E0,2.765290658E0
1.316707958E0,1.890342255E0,1.809284497E0,-2.335666784E0,3.507455425E0
1.326713958E0,2.346917412E0,2.730237773E0,-2.319068878E0,4.282557658E0
1.336720958E0,2.306325456E0,3.193770239E0,-2.294204178E0,4.558802283E0
1.346727958E0,1.906738433E0,2.981168987E0,-2.309457809E0,4.225708858E0
1.356734958E0,1.015301755E0,2.590248414E0,-2.314538455E0,3.619020967E0
1.366740958E0,-2.301130790E-1,2.086216232E0,-2.338936547E0,3.142590391E0
1.376747958E0,-8.468569207E-1,1.444036417E0,-2.507777823E0,3.015187793E0
1.386754958E0,6.798440695E-2,1.475027099E0,-2.839894409E0,3.200832248E0
1.396761958E0,5.696146989E-1,2.417089262E0,-2.770286815E0,3.720385792E0
1.406767958E0,3.954811084E-1,3.134130394E0,-3.625276043E0,4.808513806E0
1.416774958E0,9.734620035E-2,2.859660045E0,-4.206436654E0,5.087360925E0
1.426781958E0,-3.823184413E-1,2.315262048E0,-4.181138091E0,4.794634655E0
1.436788958E0,-1.225897413E0,1.980460274E0,-4.362953753E0,4.945746942E0
1.446794958E0,-1.661570528E0,1.447032677E0,-3.683011451E0,4.291770443E0
1.456801958E0,-1.277949911E0,1.057403462E0,-2.964675161E0,3.397139512E0
1.466808958E0,-1.049486917E0,1.333145142E0,-2.375004512E0,2.918791735E0
1.476815958E0,-1.482109539E0,1.932149847E0,-1.665263629E0,2.950077062E0
1.486822958E0,-2.333671714E0,2.581326440E0,-1.252858340E0,3.698502924E0
1.496828958E0,-3.038378729E0,2.985559076E0,-1.256964401E0,4.441313747E0
1.506835958E0,-2.981344988E0,3.114247522E0,-1.120384918E0,4.454460453E0
1.516842958E0,-2.056251737E0,2.902397344E0,-1.014590149E0,3.698847755E0
1.526849958E0,-7.851787359E-1,2.248045380E0,-1.020210493E0,2.590568109E0
1.536855958E0,6.903749049E-2,1.211261247E0,-5.854665005E-1,1.347104676E0
1.546862958E0,3.650393343E-1,8.552926987E-2,4.718819976E-2,3.778831801E-1
1.556869958E0,4.164971709E-1,-1.052819245E0,5.281497538E-1,1.249335991E0
1.566876958E0,1.362617009E0,-1.583823025E0,9.368338752E-1,2.289733215E0
1.576882958E0,2.162427818E0,-1.227672774E0,1.501459730E0,2.904764332E0
1.586889958E0,3.550976644E0,-3.725736178E-1,2.170758784E0,4.178569124E0
1.596896958E0,2.326597168E0,1.191099609E0,1.752983558E0,3.147177150E0
1.606903958E0,-3.699474871E-2,2.133300936E0,3.165308332E-1,2.156973172E0
1.616909958E0,-2.216286521E0,2.325956752E0,-3.392998179E-1,3.230653977E0
1.626916958E0,-4.117490564E0,1.375527369E0,-2.082849844E-1,4.346169201E0
1.636923167E0,-3.382509005E0,-1.716333210E-2,1.437842023E-1,3.385607131E0
1.646930167E0,9.976846790E-1,-2.239368989E0,5.657181875E-1,2.515985941E0
1.656936167E0,3.147596532E0,-3.082823123E0,3.822235994E0,5.832722377E0
1.666943167E0,1.966153745E0,-3.858365940E0,6.698622876E0,7.976483982E0
1.676950167E0,4.506139201E-1,-4.040968930E0,6.829463682E0,7.948210930E0
1.686957167E0,-4.003635335E-1,-2.653654159E0,5.869554355E0,6.453978593E0
1.696963167E0,1.029921548E0,-8.861505023E-1,3.175951434E0,3.454369497E0
1.706970167E0,2.814769508E0,-2.919719428E-2,-1.546358745E0,3.211698184E0
1.716977167E0,2.584780975E0,1.768028444E0,-4.821839730E0,5.749535255E0
1.726984167E0,1.707543091E0,2.701624131E0,-5.601808012E0,6.449397596E0
1.736990167E0,-2.538195623E0,3.228934810E0,-5.429671830E0,6.808068243E0
1.746997167E0,-5.913059978E0,1.421927657E0,-5.390424149E0,8.126673925E0
1.757004167E0,-8.565075747E0,3.250991676E0,-1.023927334E1,1.373943914E1
1.767011167E0,-1.111535464E1,2.637087243E0,-6.526653925E0,1.315684420E1
1.777017167E0,-1.034999738E1,-4.519507690E0,6.416058519E0,1.298900314E1
1.787024167E0,-5.170589306E0,-5.654965049E0,6.336103107E0,9.942827870E0
1.797031167E0,8.200889522E-1,-2.197463164E0,8.237349835E0,8.564772183E0
1.807038167E0,1.080708125E1,-4.055053411E0,8.944151323E0,1.460254451E1
1.817044167E0,1.458062514E1,-2.554284822E0,7.776847104E0,1.672119467E1
1.827051167E0,1.237749602E1,3.890923821E0,5.085535122E0,1.393572256E1
1.837058167E0,9.705113815E0,6.904273544E0,9.495726192E-1,1.194821809E1
1.847065167E0,7.578093812E0,4.677139269E0,-2.456935698E0,9.237947314E0
1.857071167E0,6.707722898E0,1.034214574E-1,-5.410491793E0,8.618449044E0
1.867078167E0,5.647533238E0,-3.450399272E0,-5.604768457E0,8.672561113E0
1.877085167E0,4.277069850E0,-3.524313925E0,-3.227378865E0,6.413274474E0
1.887092167E0,3.058259262E0,-3.122432454E0,-1.724596496E0,4.698592047E0
1.897098167E0,1.972222570E0,-3.143149139E0,-1.281692129E0,3.925784392E0
1.907105167E0,1.075636250E0,-3.193155697E0,-1.058290558E0,3.531743982E0
1.917112167E0,3.004615152E-1,-1.691694798E0,-7.176925117E-1,1.862039461E0
1.927119167E0,3.422726154E-1,-6.763708234E-2,-1.891286727E0,1.923198066E0
1.937125167E0,-1.066254977E0,6.783465976E-1,-3.473099917E-1,1.310602157E0
1.947132167E0,-1.768827174E0,8.738897681E-2,4.288558459E-1,1.822170063E0
1.957139167E0,-1.517672305E0,-3.939503074E-1,-7.323637605E-5,1.567968773E0
1.967146167E0,-8.534052175E-1,3.479607868E-1,-9.831566870E-2,9.268458044E-1
1.977152167E0,-4.461489862E-1,1.415831349E0,-4.249317795E-1,1.544083659E0
1.987159167E0,-7.068938738E-1,1.739651322E0,-8.174846754E-1,2.048015348E0
1.997166167E0,-1.142662590E0,1.905978295E0,-8.366155956E-1,2.374522417E0
2.007173167E0,-1.432238344E0,2.060182820E0,-6.871992821E-1,2.601519321E0
2.017179167E0,-1.205801702E0,1.995281065E0,-5.279673572E-1,2.390366876E0
2.027186167E0,-8.276154882E-1,1.903629468E0,-4.943458307E-1,2.133806540E0
2.037193167E0,-2.686058843E-1,1.902678711E0,-4.113329101E-1,1.965077647E0
2.047200167E0,2.609828693E-1,1.084852046E0,-1.177395344E-1,1.121997602E0
2.057206167E0,3.338578874E-1,-3.902297240E-1,1.615737530E-1,5.383738517E-1
2.067213167E0,3.124927461E-1,-1.632861283E0,1.124314320E-1,1.666291845E0
2.077220167E0,2.950926018E-1,-2.522324526E0,2.865813947E-1,2.555646602E0
2.087227167E0,1.655843765E-1,-2.800183044E0,9.414461589E-1,2.958845068E0
2.097233167E0,2.125550598E-1,-2.992390378E0,1.306997709E0,3.272280984E0
2.107240167E0,4.549151319E-1,-3.334251350E0,1.213489110E0,3.577252529E0
2.117247167E0,1.040684518E0,-3.226849108E0,9.469296777E-1,3.520263519E0
2.127254167E0,1.788317698E0,-2.726831478E0,2.285243905E-1,3.268931552E0
2.137260167E0,3.078836199E0,-1.796117883E0,-3.773546668E-1,3.584364426E0
2.147267167E0,3.663068352E0,-8.363559061E-1,-4.061594398E-1,3.779222995E0
2.157274167E0,2.760298017E0,-8.837165987E-1,-3.080712278E-1,2.914636864E0
2.167281167E0,1.638531036E0,-1.000332298E0,4.056156488E-1,1.962134735E0
2.177287167E0,-3.063265648E-1,-1.898076367E0,1.139706531E0,2.235052759E0
2.187294167E0,-1.473687209E0,-8.869021618E-1,7.995856905E-1,1.896756893E0
2.197301167E0,-1.843701940E0,1.379586214E0,1.009444599E0,2.514254037E0
2.207308167E0,-2.336488610E0,3.480573828E0,3.595361688E0,5.522698513E0
2.217314167E0,-3.256579860E0,7.454269080E0,1.047999502E1,1.326656457E1
2.227321167E0,-2.700982107E0,5.982703241E0,2.363996544E0,6.976856173E0
2.237328167E0,-1.600847485E0,3.480805963E0,-5.093148489E-1,3.864986990E0
2.247335167E0,-9.892123559E-1,2.808025330E0,1.463148773E0,3.317280764E0
2.257341167E0,6.684548628E-1,2.702990626E0,-4.132064310E-1,2.814912038E0
2.267348167E0,3.028888698E0,9.960796183E-1,-3.134260787E0,4.471010180E0
2.277355167E0,3.869359290E0,1.716553066E0,-7.387330155E0,8.514173041E0
2.287362167E0,3.583855537E0,4.008359885E0,-3.637599635E0,6.491771760E0
2.297368167E0,5.941861609E0,-4.888319063E-1,-5.979877281E0,8.444146393E0
2.307375167E0,5.866247755E0,-4.461918463E0,-6.633780763E0,9.916079180E0
2.317382167E0,1.007865266E0,-2.606499873E0,-1.764149401E0,3.304823307E0
2.327389167E0,-1.186702357E0,-1.625409007E-2,1.243976419E0,1.719303350E0
2.337395167E0,-6.839605093E-1,1.885837560E0,1.858308284E0,2.734500861E0
2.347402167E0,1.010368459E0,2.599617700E0,2.045325630E0,3.458643309E0
2.357409167E0,1.940951076E0,2.252791273E0,1.604174259E0,3.378717901E0
2.367416167E0,1.816170909E0,6.942463464E-1,7.340864233E-1,2.078301624E0
2.377422167E0,1.360123757E0,-6.447601908E-1,1.072028518E-2,1.505246578E0
2.387429167E0,9.293780905E-1,-8.778857553E-1,-1.599470028E-1,1.288413784E0
2.397436167E0,6.994170392E-1,-7.496370202E-1,2.449586479E-1,1.054108437E0
2.407443167E0,3.111139727E-1,2.269456422E-1,-6.304577552E-2,3.902191670E-1
2.417449167E0,-3.759783053E-1,8.040617341E-1,-1.460725687E0,1.709267238E0
2.427456167E0,-4.657307267E-1,2.631668043E-1,-1.922704840E0,1.995734395E0
2.437463167E0,-2.772936773E-1,-3.044545788E-1,-6.855345067E-1,7.997136574E-1
2.447470167E0,-1.181564409E-1,3.223692781E-1,4.818970355E-1,5.916989511E-1
2.457476167E0,-5.069261152E-1,1.056031705E0,1.192075363E0,1.671293128E0
2.467483167E0,-8.914594817E-1,1.410143178E0,1.249593254E0,2.084391300E0
2.477490167E0,-9.725767350E-1,1.973890781E0,8.485432577E-1,2.358426590E0
2.487497167E0,-1.056439841E0,2.154026538E0,5.078703674E-1,2.452310701E0
2.497503167E0,-1.063193960E0,1.588066934E0,1.936808324E-1,1.920898292E0
2.507510167E0,-8.589466238E-1,6.268630332E-1,-1.275313548E-1,1.070985906E0
2.517517167E0,-4.972302622E-1,-6.690588802E-1,-7.060746789E-2,8.365782290E-1
2.527524167E0,-4.264643347E-1,-1.966316298E0,4.749446961E-1,2.067327762E0
2.537530167E0,-3.658789945E-1,-3.359684983E0,8.935189442E-1,3.495672572E0
2.547537167E0,-2.003244388E-1,-4.661247706E0,5.637687258E-1,4.699488827E0
2.557544167E0,3.778418130E-1,-3.639645576E0,-1.261344988E0,3.870500683E0
2.567551167E0,2.464718927E0,6.486585295E-1,-3.340375139E0,4.201631033E0
2.577557167E0,6.372519566E0,4.777851711E0,-2.195582700E0,8.261807065E0
2.587564167E0,5.315428346E0,4.435644000E0,-1.129068180E0,7.014521448E0
2.597571167E0,-2.580148226E-1,2.284852141E-1,-1.404075522E0,1.445754203E0
2.607578167E0,-1.195466748E0,-9.494983596E-1,-7.164955135E-1,1.686432241E0
2.617584167E0,7.937712193E-2,2.119498730E-2,1.116132896E0,1.119152624E0
2.627591167E0,9.443721056E-2,2.399451721E-1,1.079367943E0,1.109741965E0
2.637598667E0,-1.303747242E0,-6.762772679E-1,7.663150334E-1,1.656606937E0
2.647605667E0,-1.540688699E-1,-1.541635948E-1,2.662714419E0,2.671619679E0
2.657611667E0,7.998254263E-1,-1.240252912E-2,2.830768075E0,2.941619015E0
2.667618667E0,8.670380008E-1,-8.469943303E-1,1.588041791E0,1.997756497E0
2.677625667E0,4.577042538E-1,-1.701667809E0,-2.484949343E-1,1.779583167E0
2.687632667E0,-9.800284266E-2,-1.949007370E0,-1.090192308E0,2.235341932E0
2.697638667E0,-9.383336860E-1,-1.714586647E0,-1.213432903E0,2.300586205E0
2.707645667E0,-1.589438691E0,-8.469984233E-1,-1.783579699E0,2.534734349E0
2.717652667E0,-1.835532210E0,-2.545561945E-1,-1.498189967E0,2.382970945E0
2.727659667E0,-1.759877425E0,-4.418536216E-1,-8.687091351E-2,1.816576376E0
2.737665667E0,-1.572606311E0,-4.345293993E-1,1.541240677E0,2.244399526E0
2.747672667E0,-1.551152292E0,-4.725275302E-1,2.087263030E0,2.643108521E0
2.757679667E0,-1.748930268E0,-7.160552913E-1,1.834728802E0,2.633955588E0
2.767686667E0,-1.712182272E0,-9.806189954E-1,1.365302635E0,2.399423479E0
2.777692667E0,-1.344714589E0,-1.318183433E0,1.210516312E0,2.238574241E0
2.787699667E0,-2.727907366E-1,-2.663739436E0,1.576479506E0,3.107283412E0
2.797706667E0,7.108840138E-1,-1.738122860E0,2.903481527E-1,1.900191887E0
2.807713667E0,4.142325443E-1,-1.847735934E0,-1.538366989E-1,1.899837470E0
2.817719667E0,1.662737632E-1,-1.927737538E0,3.042984581E-1,1.958677240E0
2.827726667E0,-2.276894081E-1,-1.465931463E0,4.304544747E-1,1.544696920E0
2.837733667E0,-7.747636753E-1,-6.718977034E-1,-7.137333620E-1,1.249448114E0
2.847739667E0,-1.198456430E0,-1.092979091E-1,-1.919182477E0,2.265282593E0
2.857746667E0,-6.537081850E-1,-6.616832024E-1,-1.655109354E0,1.898564201E0
2.867753667E0,2.419969600E-1,-1.466209205E0,5.901021731E-1,1.598922305E0
2.877760667E0,1.179006836E0,-3.943104959E-1,5.935662975E0,6.064456517E0
2.887766667E0,6.977795264E-1,2.985187778E0,4.049171112E0,5.078782239E0
2.897773667E0,2.123925072E-1,5.798086177E0,7.271364959E-1,5.847361916E0
2.907780667E0,1.161905485E0,6.323536856E0,-1.838609453E-1,6.432025153E0
2.917787667E0,2.072655223E0,6.709409820E0,3.556943873E-1,7.031258657E0
2.927793667E0,2.668890541E0,6.846708875E0,1.684089324E0,7.539002321E0
2.937800667E0,3.367122349E0,2.486278195E0,2.770365168E0,5.019364038E0
2.947807667E0,3.193178501E0,-2.140490234E0,2.588162420E0,4.634293052E0
2.957814667E0,2.493648903E0,-4.419267703E0,2.469522414E0,5.643292730E0
2.967820667E0,9.143010449E-1,-4.790084671E0,2.453589044E0,5.459025256E0
