"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.023427750E0,1.571581879E0,4.920567627E0,8.318501587E0,9.791798815E0
3.033433750E0,1.514400787E0,4.929998016E0,8.296197968E0,9.768581827E0
3.043439750E0,1.550176392E0,4.954247589E0,8.233927460E0,9.733713445E0
3.053445750E0,1.550475769E0,4.916825409E0,8.077502747E0,9.582546521E0
3.063451750E0,1.520687714E0,4.853507080E0,8.040529633E0,9.514154659E0
3.073457750E0,1.560055847E0,4.905449066E0,8.133186951E0,9.625275828E0
3.083463750E0,1.649569702E0,4.951104126E0,8.163723450E0,9.689215285E0
3.093469750E0,1.729353790E0,4.879253540E0,8.086035004E0,9.601132314E0
3.103475750E0,1.835483093E0,4.900209961E0,8.179440765E0,9.710010663E0
3.113481750E0,1.882934418E0,5.001249847E0,8.263416138E0,9.840832705E0
3.123487750E0,1.868713989E0,5.002297668E0,8.313412170E0,9.880682965E0
3.133493750E0,1.778002625E0,4.971611481E0,8.309969330E0,9.845496651E0
3.143499750E0,1.662442932E0,4.944667511E0,8.261021118E0,9.770257070E0
3.153505750E0,1.594783630E0,4.944517822E0,8.194858704E0,9.702953184E0
3.163511750E0,1.642384644E0,4.989274750E0,8.276738434E0,9.802789855E0
3.173517750E0,1.714983673E0,5.028343506E0,8.319250031E0,9.870933516E0
3.183523750E0,1.727407837E0,4.993615723E0,8.269253998E0,9.813291879E0
3.193529750E0,1.697769470E0,4.871170349E0,8.224197693E0,9.708148610E0
3.203534750E0,1.683998108E0,4.807103577E0,8.219407654E0,9.669682342E0
3.213540750E0,1.702709198E0,4.877008209E0,8.229586487E0,9.716507677E0
3.223546750E0,1.767225037E0,4.971312103E0,8.221503296E0,9.768835386E0
3.233552750E0,1.718725891E0,4.981640625E0,8.185128937E0,9.734839378E0
3.243558750E0,1.632355499E0,4.930147705E0,8.088130646E0,9.611909187E0
3.253564750E0,1.632654877E0,4.988376617E0,8.138276367E0,9.684059348E0
3.263570750E0,1.447639618E0,5.024152222E0,8.382418671E0,9.879408321E0
3.273576750E0,1.372046814E0,4.892126770E0,8.257278900E0,9.695260266E0
3.283582750E0,1.517095184E0,4.871469727E0,8.155640259E0,9.620148810E0
3.293588750E0,1.690734100E0,5.047353973E0,8.275840302E0,9.839913446E0
3.303594750E0,1.708696747E0,5.139412537E0,8.281827850E0,9.895548410E0
3.313600750E0,1.716630249E0,5.042114868E0,8.255033569E0,9.824221139E0
3.323606750E0,1.723665619E0,4.871320038E0,8.229736176E0,9.717475989E0
3.333612750E0,1.715283051E0,4.802762604E0,8.150401154E0,9.614455967E0
3.343618750E0,1.622476044E0,4.981490936E0,8.494984589E0,9.980603370E0
3.353624750E0,1.526375885E0,4.909490662E0,8.266709290E0,9.735060574E0
3.363630750E0,1.491348724E0,4.837340698E0,8.205636292E0,9.641392690E0
3.373636750E0,1.544937286E0,4.924160156E0,8.324040070E0,9.794071040E0
3.383642750E0,1.563049622E0,4.965923309E0,8.317753143E0,9.812672204E0
3.393648750E0,1.543440399E0,4.958588562E0,8.223149872E0,9.725739181E0
3.403654750E0,1.620979156E0,4.986430664E0,8.258775787E0,9.782609146E0
3.413660750E0,1.695823517E0,5.040168915E0,8.340805206E0,9.891822460E0
